Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (cm),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Bothriolepis_evaldi,Placodermi,Frasnian,,,,,17,,Luksevics 2001,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Lukševi?s 2001. figs 29-31,  head-shields, trunk-armours ,pectoral appendages, disarticulated plates. https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/g2001n4a2.pdf",,
Bothriolepis_leptocheira,Placodermi,Frasnian-Famennian,,,,,82,,Luksevics 2001,,1,1,0,NA,1,1,1,NA,0,NA,NA,NA,"Lukševi?s 2001. figs 32-39,  head-shields, pectoral appendages, disarticulated plates. , pectoral fin (with spines? unclear in image but refered to in text)https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/g2001n4a2.pdf",,
Bothriolepis_canadensis,Placodermi,Frasnian,,,,,46,,Werdelin & Long 1986,,1,1,0,NA,1,1,1,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.139, head-shield trunk armour. Béchard et al. 2013, fig. 8, full specimen, spines on pectoral fins https://doi.org/10.26879/417",,
Bothriolepis_favosa,Placodermi,Frasnian,,,,,56,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Bothriolepis_hayi,Placodermi,Frasnian-Famennian,,,,,51,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Bothriolepis_major,Placodermi,Frasnian,,,,,41,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Bothriolepis_obesa,Placodermi,Frasnian-Famennian,,,,,66,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Bothriolepis_taylori,Placodermi,Frasnian,,,,,61,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Found an image here but I cannot make out what it is. http://collections.gla.ac.uk/#/details/ecatalogue/21101,,
Bothriolepis_wilsoni,Placodermi,Frasnian-Famennian,,,,,72,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Bothriolepis_sanzarensis,Placodermi,Frasnian,,,,,76,,Moloshnikov 2010,,0,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,"Moloshnikov 2010, fig. 2, mediodorsal plate of trunk shield and partial pectoral fin with small spines. http://dx.doi.org/10.1134/S0031030110010107",,
Bothriolepis_volongensis,Placodermi,Frasnian,,,,,48,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, this sp. does not seem to be present?",,
Asterolepis_chadwicki,Placodermi,Frasnian,,,,,57,,Denison 1978,,0,NA,NA,NA,1,0,1,NA,0,NA,NA,NA,"Wells 1964, plates 73-74, disarticulated plates of trunk armour. https://www.jstor.org/stable/1301525 ",,
Asterolepis_saevesoederberghi,Placodermi,Frasnian,,,,,49,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAN'T FIND, Denison 1978. UPDATE: Acquired Denison, no image present.",,
Asterolepis_maxima,Placodermi,Frasnian-Famennian,,,,,98,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.141, image of too low quality in my copy :(. Top plate of head, http://collections.gla.ac.uk/#/details/ecatalogue/21116. Extremely smushed example with what I think are trunk plates? https://collections.si.edu/search/detail/edanmdm:nmnhpaleobiology_3415293?q=record_ID%3Dnmnhpaleobiology_3415293&record=1&hlterm=record_ID%3Dnmnhpaleobiology_3415293&inline=true",,
Neophlyctenius_sherwoodi,Placodermi,Frasnian,,,,,50,,Denison 1978,,0,NA,NA,NA,1,0,1,NA,0,NA,NA,NA,"CAN'T FIND, Denison 1978. Zero trace of this sp. at all on the web, possible typo in name? UPDATE: Acquired Denison 1978, p.54 fig.39 D, line drawing of trunk shield. ",,
Grossilepis_tuberculata,Placodermi,Frasnian,,,,,26,,Luksevics 2001,,1,1,0,NA,1,1,1,NA,0,NA,NA,NA,"Lukševi?s 2001. figs 79-80,  line drawings only of head shield and thoracic armour. https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/g2001n4a2.pdf",,
Walterosteus_lelievrei,Placodermi,Frasnian,,,,,29,,Rücklin 2011,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Rücklin 2011, fig. 9, skull with thoracic armour as impression only (holotype). https://doi.org/10.1111/j.1475-4983.2010.01026.x",,
